Sentence#,Word,Tag;
,Основной,O;
,задачей,O;
,Ивана,B-PER;
,Беседина,I-PER;
,назначенного,O;
,новым,O;
,начальником,B-PER;
,московского,I-PER;
,метрополитена,I-PER;
,станет,O;
,увеличение,O;
,темпов,O;
,прокладки,O;
,новых,O;
,путей,O;
,с,O;
,четырех,O;
"11,""Интерфакс"",B-ORG";
,заявил,O;
,заместитель,B-PER;
,мэра,I-PER;
,Москвы,I-PER;
,по,I-PER;
,вопросам,I-PER;
,развития,I-PER;
,транспорта,I-PER;
,Николай,B-PER;
,Лямов,I-PER;
12,Мэр,B-PER;
,Собянин,I-PER;
,при,O;
,стрельбе,O;
,в,O;
,МФЦ,B-ORG;
,на,O;
,юго-востоке,B-LOC;
,Москвы,B-GPE;
,погибли,O;
,два,O;
,человека,O;
13,США,B-GPE;
,потребуют,O;
,от,O;
,ФРГ,B-GPE;
,отказаться,O;
,от,O;
,СП-2,B-PRODUCT;
,в,O;
,случае,O;
,эскалации,O;
,на,O;
,Украине,B-GPE;
14,Глава,B-PER;
,Генштаба,I-PER;
,России,B-GPE;
,пообещал,O;
,пресекать,O;
,украинские,O;
,провокации,O;
,Донбассе,B-GPE;
15,Глава,B-PER;
,Генштаба,I-PER;
,ВС,I-PER;
,РФ,I-PER;
,Валерий,B-PER;
,Герасимов,I-PER;
,назвал,O;
,недостоверной,O;
,информацию,O;
,о,O;
,готовящемся,O;
,вторжении,O;
,РФ,B-GPE;
,на,O;
,Украину,B-GPE;
16,Песков,B-PER;
,президенты,B-PER;
,Путин,B-PER;
,и,O;
,Байден,B-PER;
,отметили,O;
,необходимость,O;
,согласования,O;
,вопросов,O;
,с,O;
,НАТО,B-ORG;
17,Мишустин,B-PER;
,подписал,O;
,распоряжение,O;
,о,O;
,назначении,O;
,первым,B-PER;
,замглавы,I-PER;
,Минздрава,I-PER;
,России,B-GPE;
,Владимира,B-PER;
,Зеленского,I-PER;
,который,O;
,ранее,O;
,возглавлял,O;
,Фонд,B-ORG;
,обязательного,I-ORG;
,медицинского,I-ORG;
,страхования,I-ORG;
,Москвы,B-GPE;
,назначили,O;
,первым,B-PER;
,замглавы,I-PER;
,Минздрава,I-PER;
,России,B-GPE;
18,Минстрой,B-ORG;
,Алтайского,B-GPE;
,края,I-GPE;
,собирается ,O;
,отказаться,O;
,от,O;
,услуг,O;
,компании,B-ORG;
",""Экостар"",I-ORG";
,которая,O;
,этом,O;
,году,O;
,была,O;
,определена,O;
,региональным,B-ORG;
,оператором,I-ORG;
,по,I-ORG;
,ТКО,I-ORG;
,в,O;
,Алейской,B-GPE;
,и,O;
,Славгородской,B-GPE;
,зонах,O;
19,Екатеринбург,B-GPE;
,и,O;
,Минск,B-GPE;
,могут,O;
,связать,O;
,прямые,O;
,рейсы,O;
,с,O;
,весны,O;
20,Technip,B-ORG;
,Energies,I-ORG;
,и,O;
,Maire,B-ORG;
,Technimont,I-ORG;
,получили,O;
,EPC-контракты,O;
,по,O;
,проекту,O;
,Borouge 4,B-PRODUCT;
,в,O;
,ОАЭ,B-GPE;
21,FLB,B-ORG;
,рассказало,O;
,как,O;
,искусственно,O;
,мэра,B-PER;
,Орла,I-PER;
,Парахина,B-PER;
22,Подмосковный,B-GPE;
,губернатор,B-PER;
,Андрей,B-PER;
,Воробьев,I-PER;
,подписал,O;
,соглашение,B-LAW;
,о,O;
,сотрудничестве,O;
,с,O;
,японской,B-NORP;
,компанией,B-ORG;
,Хино,I-ORG;
,Моторс,I-ORG;
,и,O;
,запустил,O;
,строительство,O;
,завода,B-FAC;
,по,O;
,выпуску,O;
,грузовиков,B-PRODUCT;
,этой,O;
,марки,O;
23,«Газпром»,B-ORG;
,в,O;
,полном,O;
,объеме,O;
,выполнил,O;
,взятые,O;
,на,O;
,себя,O;
,обязательства,O;
,по,O;
,транзиту,O;
,газа,B-PRODUCT;
,через,O;
,территорию,O;
,Украины,B-GPE;
,в,O;
,2021,B-DATE;
,году,I-DATE;
,говорится,O;
,в,O;
,сообщении,O;
,компании,O;
,поступившем,O;
,в,O;
,РБК,B-ORG;
,.,O;
24,08:22,B-TIME;
,26,B-DATE;
,Окт,I-DATE;
,Сбербанк,B-ORG;
,и,O;
",""Р-Фарм"",B-ORG";
,договорились,O;
,о,O;
,приобретении,O;
",""Еаптеки"",B-ORG";
,В,O;
,Сбербанке,B-ORG;
,уже,O;
,заявили,O;
,о,O;
,своих,O;
,планах,O;
,выйти,O;
,в,O;
,лидеры,O;
,российского,B-NORP;
,рынка,O;
,онлайн,O;
,продаж,O;
,лекарственных,B-PRODUCT;
,препаратов,I-PRODUCT;
25,Глава,B-PER;
,«Ростеха»,B-ORG;
,подчеркнул,O;
,что,O;
,Россия,B-GPE;
,и,O;
,Китай,I-GPE;
,не,O;
,публикуют,O;
,данные,O;
,о,O;
,продажах.,O;
,Ранее,O;
,в,O;
,SIPRI,B-PER;
,сообщили,O;
,что,O;
,продажи,O;
,нескольких,O;
,компаний,B-ORG;
,российского,B-NORP;
,ОПК,B-ORG;
,снизились,O;
,на,O;
,6.5%,O;
,а,O;
,китайского,B-NORP;
,увеличились,O;
,на,O;
,1.5%,B-MONEY;
26,Суверенный,O;
,фонд,O;
,ОАЭ,B-GPE;
,Mubadala,B-ORG;
,купил ,O;
,на 1.5%,B-MONEY;
,нефтехимической компании,O;
,«Сибур»,B-ORG;
,России.,B-GPE;
27,Японская,B-NORP;
,Iida,B-ORG;
,Group,I-ORG;
,RFP,B-ORG;
,Group,I-ORG;
,примерно за ,O;
,$525 млн.,B-MONEY;
,Романа,B-PER;
,Абрамовича,I-PER;
,Александра,B-PER;
,Абрамова,I-PER;
,и,O;
,РФПИ,B-ORG;
,— размоется до 25%,O;
28,экс-владельца,B-PER;
,банка,I-PER;
,«Югра»,B-ORG;
,Алексея,B-PER;
,Хотина,I-PER;
,банку,O;
,непрофильных,O;
,активов,O;
,«Траст»,B-PER;
,свои,B-PER;
,требования на,O;
,4.3 млрд руб.,B-MONEY;
,Всего,O;
,Хотин,B-PER;
,должен,O;
,«Трасту»,B-ORG;
,10 млрд руб.,B-MONEY;
29,Суд,B-ORG;
,арестовал,O;
,сооснователя,B-PER;
,«СДС-Угля»,B-ORG;
,Михаила,B-PER;
,Федяева,I-PER;
,на два месяца.,O;
30,Губернатор,B-PER;
,Сахалинской,B-GPE;
,области,I-GPE;
,Валерий,B-PER;
,Лимаренко,I-PER;
,рассказал,O;
,РБК,B-ORG;
,Дальнем,B-GPE;
,Востоке,I-GPE;
,почему,O;
необходимо,O ;
,$2.5 млрд,B-MONEY;
,и,O;
,18 млрд руб,I-MONEY;
,.,O;
31,Члены,B-PER;
,саморегулируемой,O;
,организации,B-ORG;
",""Союзпетрострой-Стандарт"",I-ORG";
,выбрали,O;
,новый,O;
,совет,B-ORG;
,Система,B-ORG;
,СРО,I-ORG;
,заставит,O;
,строителей,B-PER;
,в строительстве,O;
,Союз,B-ORG;
,строителей,B-ORG;
,Урала,I-ORG;
,и,O;
,Приамурская,B-ORG;
,строительная,I-ORG;
,саморегулируемая,I-ORG;
,организация,I-ORG;
,вручает своим,O;
,участникам,B-PER;
,свидетельства,O;
,о,O;
,допусках,O;
32,За,O;
,строительство,O;
,производственного комплекса,B-FAC;
,склада,B-FAC;
,насосных станций,B-FAC;
,и,O;
,резервуаров,B-FAC;
,с,I-FAC;
,водой,I-FAC;
,НИИ,B-ORG;
,заплатит,O;
,799 млн рублей,B-MONEY;
,Татарстана,B-GPE;
",""Казанский Гипронииавиапром"",B-ORG";
"33,""Коми,B-ORG";
,и,O;
",""Роснефть"",B-ORG";
,Представители,B-PER;
,республики,O;
,и,O;
,нефтегазовой,B-ORG;
,компании,I-ORG;
34,Адыгея,B-GPE;
,и,O;
,Минспорта,B-ORG;
,РФ,B-GPE;
,подписали,O;
,о,O;
",сотрудничестве."",O";
35,В,O;
,рамках,O;
,заключенного,O;
,соглашения,O;
,компания,B-ORG;
,SberCloud,I-ORG;
,предоставила,O;
,сервису,B-ORG;
,Работа. ру ,I-ORG;
,SberCloud.Advanced,B-ORG;
36,По,O;
,самому,O;
,ТО,B-LAW;
,принял,O;
,решение,O;
,и,O;
,заключил,O;
,сервисный,O;
,контракт,B-LAW;
,с,O;
,Пежо,B-ORG;
",""Сервис,I-ORG";
",Максимум"".,I-ORG";
,машина,O;
,у,O;
,меня,B-PER;
,на,O;
,юрлице,O;
,обратился,O;
,к,O;
,своему,O;
,дилеру,B-PER;
,где,O;
,покупал,O;
,машину,O;
,Мейджор,B-ORG;
,и,O;
,они,O;
,мне,O;
,прислали,O;
,счет,O;
,на,O;
,предоплату,O;
,по,O;
,первому,O;
,ТО,B-LAW;
"37,""08:22,B-TIME";
,26 Окт,B-DATE;
,Сбербанк,B-ORG;
,и,O;
",""Р-Фарм"",B-ORG";
,договорились,O;
,о,O;
,приобретении,O;
",""Еаптеки"",B-ORG";
,В,O;
,Сбербанке,B-ORG;
,уже,O;
,заявили,O;
,о,O;
,своих,O;
,планах,O;
,выйти,O;
,в,O;
,лидеры,O;
,российского,B-NORP;
,рынка,O;
,онлайн-продаж,O;
,лекарственных,B-PRODUCT;
",препаратов."",I-PRODUCT";
38,Воронежская,B-LOC;
,область,I-LOC;
,подписала,O;
,соглашение,B-LAW;
,со,O;
,студией,O;
,Wizart,B-ORG;
,Animation,I-ORG;
39,Firefly,B-ORG;
,рад,O;
,подписать,O;
,меморандум,B-LAW;
,о,O;
,взаимопонимании,O;
,с,O;
,Airbus,B-ORG;
,чтобы,O;
,сформулировать,O;
,рыночное,O;
,предложение,O;
,которое,O;
,обеспечит,O;
,клиентам,O;
,Airbus,B-ORG;
,быстрое,O;
,развертывание,O;
,спутников,B-PRODUCT;
,производства,I-PRODUCT;
,Airbus,B-ORG;
,сказал,O;
,генеральный,B-PER;
,директор,I-PER;
,Firefly,B-ORG;
,Том,B-PER;
,Маркусик,I-PER;
40,PGNiG,B-ORG;
,Upstream,I-ORG;
,Norway,I-ORG;
,подписала,O;
,соглашение,B-LAW;
,с,O;
,Norske,B-ORG;
,Shell,I-ORG;
,о,O;
,приобретении,O;
,доле,O;
,в,O;
,Квитебьерн,B-GPE;
,Валемон,I-GPE;
,двух,O;
,действующих,O;
,месторождениях,B-FAC;
,в,O;
,Северном,B-LOC;
,море,I-LOC;
41,SOCAR,B-ORG;
,заключил,O;
,соглашение,B-LAW;
,с,O;
,компанией,O;
,Роснефть,B-ORG;
,на,O;
,право,O;
,продажи,O;
,нефтепродуктов,B-PRODUCT;
,в,O;
,страны,O;
,Восточной,B-GPE;
,Европы,I-GPE;
,Польшу,B-GPE;
,Украину,B-GPE;
,в,O;
,страны,O;
,Прибалтики,B-GPE;
,и,O;
,так,O;
,далее,O;
"42,""АЕГЭ-АЭРО"",B-ORG";
,эксклюзивный,O;
,дистрибьютор,O;
,производителя,O;
,телетрапов,B-PRODUCT;
",""ADELTE"",B-ORG";
,на,O;
,территории,O;
,РФ,B-GPE;
,23,B-DATE;
,апреля,I-DATE;
,2015,I-DATE;
,г,I-DATE;
,ООО,B-ORG;
",""АЕГЭ-АЭРО"",I-ORG";
,подписало,O;
,новое,O;
,эксклюзивное,O;
,дистрибьюторское,B-LAW;
,соглашение,I-LAW;
,с,O;
,компанией,O;
",""Adelte,B-ORG";
,Technolologies,I-ORG;
",S. L. U"",I-ORG";
,которое,O;
,дает,O;
,право,O;
,продавать,O;
,телескопически,B-PRODUCT;
,трапы,I-PRODUCT;
,для,O;
,аэропортов,B-FAC;
,а,O;
,также,O;
,обеспечивать,O;
,Российской,B-GPE;
,Федерации,I-GPE;
43,31.05.2019,B-DATE;
,Яндекс,B-ORG;
,Сбербанка,B-ORG;
,российскую,B-NORP;
,интернет-компанию,B-ORG;
,Герман,B-PER;
,Греф,I-PER;
,аукционерами,B-PER;
,Яндекса,B-ORG;
,глава,B-PER;
,госбанка,I-PER;
,Агентство,B-ORG;
,Бизнес,I-ORG;
,Информации,I-ORG;
,ABIREG.RU,B-ORG;
44,Белгородский,B-NORP;
,холдинг,B-ORG;
",""Авида"",I-ORG";
",""Петропак"",B-ORG";
,заключил,O;
,договор,B-LAW;
,по,O;
,открытию,O;
,новой,O;
,линии,O;
,молока,B-PRODUCT;
,упаковку,B-PRODUCT;
,крышкой,B-PRODUCT;
"45,""С,O";
,этой,O;
,целью,O;
,в,O;
,феврале,B-TIME;
,2015,I-TIME;
,года,I-TIME;
,Ермегияев,B-PER;
,Т. А.,I-PER;
,организовал,O;
,заключение,O;
,договора,O;
,между,O;
,Обществом,B-ORG;
,и,O;
,ТОО,B-ORG;
",""SOUTHFORK ltd ."",I-ORG";
,на,O;
,выполнение,O;
,работ,O;
,по,O;
,выносу,O;
,сетей,O;
,на,O;
,сумму,O;
,918496330,B-MONEY;
,тенге,I-MONEY;
,которые,O;
,к,O;
,тому,O;
,времени,O;
,уже,O;
,были,O;
,фактически,O;
,выполнены,O;
,за,O;
,365246143,B-MONEY;
",тенге."",I-MONEY";
46,20.07.2015,B-TIME;
,ИП,B-ORG;
",""noi.md"",I-ORG";
,Гагаузия,I-ORG;
,представила,O;
,более,O;
,50,O;
,проектов,O;
,в,O;
,Фонд,B-ORG;
,по,I-ORG;
,энергоэффективности,I-ORG;
,E5P,I-ORG;
,Более,O;
,50,O;
,проектов,O;
,представила,O;
,Гагаузская,B-ORG;
,автономия,I-ORG;
,в,O;
,Фонд,B-ORG;
,Восточноевропейского,I-ORG;
,партнерства,I-ORG;
,по,I-ORG;
,вопросам,I-ORG;
,энергоэффективности,I-ORG;
,и,I-ORG;
,экологии,I-ORG;
,E5P,I-ORG;
47,20:33,B-TIME;
,09,I-TIME;
,Сен,I-TIME;
,Сбербанк,B-ORG;
,и,O;
,Mail.ru,B-ORG;
,Group,I-ORG;
,купили,O;
,84.7%,O;
",""Кухни на районе"",B-ORG";
,Совместное,O;
,предприятие,O;
,Сбербанка,B-ORG;
,и,O;
",Mail.ru Group ""ОО"",B-ORG";
,Mail,I-ORG;
,инвестирует,O;
,в,O;
,сервис,O;
,доставки,O;
,еды,O;
",""Кухня на районе"",B-ORG";
,узнал,O;
",Inc....."",O";
"48,""214.,O";
,Помимо,O;
,этого,O;
,в,O;
,рамках,O;
,осуществления,O;
,проекта,O;
,по,O;
,содействию,O;
,институциональному,B-LAW;
,укреплению,I-LAW;
,Управления,I-LAW;
,Уполномоченного,I-LAW;
,по,I-LAW;
,правам,I-LAW;
,человека,I-LAW;
,британское,B-ORG;
,посольство,I-ORG;
,Управление,B-ORG;
,и,O;
,ПРООН,B-ORG;
,подписали,O;
,соглашение,B-LAW;
,о,O;
,предоставлении,O;
,помощи,O;
,в,O;
,интересах,O;
,развития,O;
,предусматривающее,O;
,обучение,O;
,270,O;
,государственных,B-PER;
,служащих,I-PER;
,по,O;
,вопросам,O;
,прав,O;
",человека.."",O";
"49,""МГТУ,B-ORG";
,ГА,I-ORG;
,заключил,O;
,соглашение,B-LAW;
,о,O;
,целевой,O;
,подготовке,O;
,кадров,O;
,для,O;
,Бурятии...,B-GPE;
,и,O;
,Байкальского,I-GPE;
,региона,I-GPE;
,на,O;
,период,O;
,до,O;
",2018 года""."",B-TIME";
50,4,O;
,сотрудника,B-PER;
,Государственной,B-ORG;
,инспекции,I-ORG;
,труда,I-ORG;
,в,O;
,Новосибирской,B-GPE;
,области,I-GPE;
,стали,O;
,призерами,O;
,конкурса,O;
",""Лучший,O";
,по,O;
,профессии,O;
,в,O;
,системе,O;
,федеральной,O;
,инспекции,O;
",труда"",O";
,Трудовые,O;
,права,O;
,работника,O;
,МБУ,B-ORG;
",""Приют животных Надежда"",I-ORG";
,восстановлены,O;
,В,O;
,результате,O;
,принятых,O;
,инспекцией,B-ORG;
,труда,I-ORG;
,мер,O;
,с,O;
,3,O;
,работниками,B-PER;
,заключены,O;
,дополнительные,O;
,соглашения,O;
,к,O;
,трудовому,B-LAW;
,договору,I-LAW;
,по,O;
,условиям,O;
,оплаты,O;
,труда,O;
51,Государственная,B-ORG;
,инспекция,I-ORG;
,труда,I-ORG;
,в,O;
,Новосибирской,B-GPE;
,области.,I-GPE;
,уведомляет,O;
,о,O;
,начале,O;
,проведения,O;
,плановых,O;
,проверок,O;
,в,O;
,следующих,O;
,организациях,B-ORG;
,В,O;
,результате,O;
,принятых,O;
,мер,O;
,работнику,B-PER;
",ООО ""Хлебный дом Родино"",B-ORG";
,выплачена,O;
,денежная,O;
,компенсация,O;
,за,O;
,каждый,O;
,день,O;
,задержки,O;
,окончательного,O;
,расчёта,O;
,при,O;
,увольнении,O;
52,Решением,O;
,Конкурсной,B-ORG;
,комиссии,I-ORG;
,Государственной,B-ORG;
,инспекции,I-ORG;
,труда,I-ORG;
,в,O;
,Новосибирской,B-GPE;
,области,I-GPE;
,от 26.11.2015,B-TIME;
,назначена,O;
,дата,O;
,проведения,O;
,2,O;
,этапа,O;
,конкурса,O;
,–,O;
",15.12.2015."",I-TIME";
53,495,O;
,10.12.2011,B-DATE;
,Вопрос,O;
,задает,O;
,Кудрявый,B-PER;
,Владимир,I-PER;
,Николаевич,I-PER;
,г.,O;
,Старый,B-GPE;
,Оскол,I-GPE;
,24.11.2011г,B-DATE;
,заключил,O;
,Пользовательское,B-LAW;
,соглашение,I-LAW;
,для,O;
,получения,O;
,доступа,O;
,в,O;
,Личный,B-LAW;
,кабинет,I-LAW;
54,Договор,B-LAW;
,двустороннее,O;
,соглашение,B-LAW;
,заключенное,O;
,между,O;
,Пользователем,B-PER;
,и,O;
,Поставщиком,B-PER;
,по,O;
,условиям,O;
,которого,O;
,Поставщик,B-PER;
,обязуется,O;
,предоставить,O;
,Пользователю,B-PER;
,Услугу,B-LAW;
,а,O;
,последний,O;
,обязуется,O;
,оплатить,O;
,их,O;
55,Наша,O;
,компания,B-ORG;
,готова,O;
,помочь,O;
,Вашему,O;
,учреждению,B-ORG;
,с,O;
,выполнением,O;
,следующих,O;
,мероприятий,O;
,Осуществляем,O;
,подготовку,O;
,конкурсной,O;
,документации,O;
,для,O;
,осуществления,O;
,закупки,O;
,до,O;
,31.05.2020 г.,B-DATE;
,для,O;
,заключения,O;
,контрактов,B-LAW;
,на,O;
,развитие,O;
,медицинской,O;
,информационной,O;
, системы,O;
,в,O;
,соответствии,O;
,с,O;
,письмом,O;
,Минздрава,B-ORG;
,России,B-GPE;
,от,O;
,10.02.2020,B-DATE;
,№ 18-0,O;
,150,O;
,всем,O;
,медицинским,O;
,организациям,B-ORG;
,подведомственным,O;
,Минздраву,B-ORG;
,России,B-GPE;
,Осуществление,O;
,организационных,O;
,задач,O;
,по,O;
,подключению,O;
,к,O;
,сервисам,O;
,ЕГИСЗ,B-ORG;
,Поставку,O;
,и,O;
,внедрение,O;
,МИС,O;
,MedWork,B-ORG;
,либо,O;
,настройку,O;
,обмена,O;
,МИС,O;
,МО,B-ORG;
,с,O;
,Интеграционным,O;
,шлюзом,O;
,Медворк-ЕГИСЗ,B-ORG;
,в,O;
,зависимости,O;
,от,O;
,выбранной ,O;
,схемы,O;
,взаимодействия,O;
,Конвертация,O;
,данных,O;
,МИС МО,B-ORG;
,в,O;
,формат,O;
,при,O;
,схеме,O;
,интеграции,O;
,интеграции,O;
,через,O;
,Интеграционный,O;
,шлюз,O;
,Медворк-ЕГИСЗ,B-ORG;
,СЭМД,B-ORG;
,Направление,O;
,на,O;
,медико,O;
,социальную,O;
,экспертизу,O;
56,Для,O;
,участия,O;
,в,O;
,Торгах,O;
,Заявитель,B-PER;
,представляет,O;
,Оператору,B-PER;
,в,O;
,электронной,O;
,форме,O;
,подписанный,O;
,электронной,O;
,подписью,O;
,Заявителя,B-PER;
,договор,B-LAW;
,о,O;
,внесении,O;
,задатка,O;
57,AliExpress,B-ORG;
,ввел,O;
,новшество,O;
,о,O;
,котором,O;
,обязаны,O;
,знать,O;
,все,O;
,Торговая,O;
,площадка,O;
,AliExpress,B-ORG;
,пользуется,O;
,невероятно,O;
,большой,O;
,популярностью,O;
,на,O;
,всей,O;
,российской,B-NORP;
,территории,O;
,а,O;
,покупают,O;
,себе,O;
,что,O;
,либо,O;
,с,O;
,ее,O;
,помощью,O;
,свыше,O;
,20,B-MONEY;
,млн,I-MONEY;
,россиян,O;
,на,O;
,постоянной,O;
,ежемесячной,O;
,основе,O;
58,И,O;
,дальше,O;
,Вы,O;
,поставили,O;
,вопрос,O;
,что,O;
,все,O;
,эти,O;
,изменения,O;
,означают,O;
,для,O;
,образования,O;
,для,O;
,молодёжи,O;
,для,O;
,нас,O;
,с,O;
,вами,O;
59,INTERFAX.RU,B-ORG;
,Российская,B-ORG;
,академия,I-ORG;
,наук,I-ORG;
,РАН,B-ORG;
,Российский,B-ORG;
,химико,I-ORG;
,технологический,I-ORG;
,университет,I-ORG;
,имени,I-ORG;
,Менделеева,B-PER;
,РХТУ,B-ORG;
,и,O;
,научно,O;
,технологический,O;
,центр,O;
,Долина,B-PER;
,Менделеева,I-PER;
,подписали,O;
,соглашение,B-LAW;
,о,O;
,сотрудничестве,O;
60,Mail.ru,B-PER;
,Group,I-PER;
,выходит,O;
,на,O;
,рынок,O;
,наружной,O;
,рекламы,O;
,Холдинг,B-ORG;
,уже,O;
,заключил,O;
,договор,B-LAW;
,с,O;
,Gallery,B-ORG;
,и,O;
,ведет,O;
,переговоры,O;
,с,O;
,другими,O;
,операторами,O;
61,Документ,O;
,был,O;
,подписан,O;
,Венесуэла,B-GPE;
,заключила,O;
,соглашение,B-LAW;
,на,O;
,поставку,O;
,ЭпиВакКороны,B-PRODUCT;
,ГЕРОФАРМ,B-ORG;
,ЗАКЛЮЧИЛ,O;
,НА,O;
,ПМЭФ,B-NORP;
,СОГЛАШЕНИЕ,O;
62,заключил,O;
, Партнерское,B-LAW;
,соглашение,I-LAW;
,с,O;
,OSTCHEM,B-ORG;
,Retail,I-ORG;
,по,O;
,которому,O;
,банк,O;
,осуществляет,O;
,кредитование,O;
,сельхозпроизводителей,O;
,на,O;
,приобретение,O;
,минеральных,O;
,удобрений,O;
,отечественного,O;
,производства,O;
,азотные,O;
,удобрения,O;
,КАС,B-PRODUCT;
,карбамид,I-PRODUCT;
,аммиак,I-PRODUCT;
63,А,O;
,саратовская,O;
,компания,O;
,Интернет,B-ORG;
,людей,I-ORG;
,подписала,O;
,долгосрочный,O;
,контракт,B-LAW;
,с,O;
,тольяттинским,O;
,ООО,B-ORG;
,Региональный,I-ORG;
,Центр,I-ORG;
,АСКОН-Волга,I-ORG;
,занимающимся,O;
,внедрением,O;
,информационных,O;
,систем,O;
,и,O;
,программных,O;
,продуктов,O;
,для,O;
,компьютерного,O;
,проектирования,O;
64,Центр,O;
,развития,O;
,допобразования,O;
,ЧР,B-ORG;
,и,O;
,Академия,B-ORG;
,талантов,I-ORG;
,Санкт-Петербурга,B-GPE;
,заключили,O;
,договор,B-LAW;
,о,O;
,сотрудничестве,O;
,Контракт,O;
,был,O;
,заключен,O;
,между,O;
,РОСКОСМОСОМ,B-ORG;
,РКЦ,I-ORG;
,Прогресс,I-ORG;
,и,O;
,НПО,B-ORG;
,им. Лавочкина,B-PER;
,с,O;
,российской,O;
,стороны,O;
,стороны,O;
,и,O;
,компанией,O;
,Arianespace,B-ORG;
,с,O;
,французской,O;
,стороны,O;
,АО,B-ORG;
,НПО,I-ORG;
,Плавский,I-ORG;
,поставил,O;
,в,O;
,Истринский,O;
,район,O;
,12,B-PRODUCT;
,прицепов,I-PRODUCT;
,ПККД,I-PRODUCT;
,20,I-PRODUCT;
65,Агентство,O;
,Бизнес,O;
,Информации,O;
,ABIREG.RU,B-ORG;
,Белгородский,B-NORP;
,холдинг,O;
,Авида,B-ORG;
,заключил,O;
,договор,B-LAW;
,с,O;
,компанией,O;
,Петропак,B-ORG;
,по,O;
,открытию,O;
,новой,O;
,линии,O;
,по,O;
,розливу,O;
,молока,O;
,в,O;
,упаковку,O;
,которая,O;
,будет,O;
,оборудована,O;
,крышкой,O;
66,Агентство,B-ORG;
,Дальнего,B-GPE;
,Востока,I-GPE;
,по,O;
,привлечению,O;
,инвестиций,O;
,и,O;
,поддержке,O;
,экспорта,O;
,АПИ,B-ORG;
,и,O;
,Внешнеэкономическая,B-ORG;
,организация,I-ORG;
,Австрии,B-GPE;
,подписали,O;
,соглашение,B-LAW;
,о,O;
,инвестиционном,O;
,сотрудничестве,O;
,на,O;
,Дальнем,B-GPE;
,Востоке,I-GPE;
,а,O;
,также,O;
,развитии,O;
,расширении,O;
,и,O;
,совершенствовании,O;
,производственных,O;
,и,O;
,торгово-экономических,O;
,связей,O;
67,31.05.2019,B-DATE;
,Яндекс,B-ORG;
,не,O;
,продается,O;
,глава,O;
,Сбербанка,B-ORG;
,не,O;
,будет,O;
,покупать,O;
,российскую,B-NORP;
,интернет,O;
,компанию,O;
,Герман,B-PER;
,Греф,I-PER;
,во,O;
,время,O;
,своего,O;
,очередного,O;
,выступления,O;
,перед,O;
,аукционерами,O;
,заявил,O;
,что,O;
,в,O;
,его,O;
,планах,O;
,покупки,O;
,Яндекса,B-ORG;
,как,O;
,и,O;
,оснований,O;
,для,O;
,заключения,O;
,сделки,B-LAW;
,нет,O;
,отметил,O;
,глава,O;
,госбанка,O;
68,Акционерам,B-PER;
,и,O;
,инвесторам,B-PER;
,Частным,B-PER;
,клиентам,I-PER;
,Малому,O;
,бизнесу,O;
,и,O;
,ИП,B-ORG;
,Самозанятым,O;
,Корпоративным,O;
,клиентам,O;
,Финансовым,O;
